Platz;Jahr;Titel;Interpret;Geschlecht;Deutsch ;Genre ;;
56;2016;Home ;Topic feat. Nico Santos ;0;0;0;;
57;2016;Bonbon ;Era Istrefi;1;0;0;;
58;2016;My Way ;Calvin Harris ;0;0;1;;
59;2016;Rockabye ;Clean Bandit feat. Sean Paul und Anne-Marie ;2;0;1;;
60;2016;In The Name Of Love ;Martin Garrix und Bebe Rexha ;2;0;0;;
61;2016;Exs und Ohs ;Elle King;1;0;0;;
62;2016;Duele el corazon;Enrique Iglesias feat. Wilsin ;0;0;0;;
63;2016;Final Song ;MO;1;0;0;;
64;2016;If I Were Sorry ;Frans ;0;0;1;;
65;2016;Too Good  ;Drake feat. Rihanna ;2;0;2;;
66;2016;Miracle ;Julian Perretta ;0;0;0;;
67;2016;My House ;Flo Rida ;0;0;2;;
68;2016;Spirits ;The Strumbellas ;2;0;0;;
69;2016;Speeding Cars ;Walking On Cars ;0;0;0;;
70;2016;Hello ;Adele ;1;0;0;;
71;2016;Renegades ;X Ambassadors ;0;0;0;;
72;2016;Be The One ;Dua Lipa ;1;0;0;;
73;2016;Ride ;Twenty One Pilots;0;0;2;;
74;2016;Hollande ;257ers ;0;1;2;;
75;2016;Show Me Love ;Robin Schulz und J.U.D.G.E.;0;0;1;;
76;2016;Chöre ;Mark Forster ;0;1;0;;
77;2016;Ich Will Nur Dass Du Weisst;SDP feat. Adel Tawil ;0;1;2;;
78;2016;Never Forget You ;Zara Larsson und MNEK;2;0;0;;
79;2016;Say You Wont Let Go;James Arthur;0;0;0;;
80;2016;Sofia ;Alvaro Soler ;0;0;0;;
81;2016;Musik Sein ;Wincent Weiss;0;1;0;;
82;2016;Sugar;Robin Schulz feat. Francesco Yates ;0;0;1;;
83;2016;Howling At The Moon ;Milow ;0;0;0;;
84;2016;Sweet Lovin;Sigala feat. Bryn Christopher ;0;0;1;;
85;2016;Heatwave ;Robin Schulz feat. Akon ;0;0;1;;
86;2016;Roses ;The Chainsmokers feat. Rozes;2;0;1;;
87;2016;Kokaina ;Miami Yacine ;0;1;2;;
88;2016;Pillowtalk ;Zayn ;0;0;0;;
89;2016;Aint My Foult;Zara Larsson ;1;0;0;;
90;2016;Hundred Miles ;Yall feat. Gabriela Richardson ;2;0;1;;
91;2016;Sex Ohne Grund ;Ali Bumaye feat. Shindy ;0;1;2;;
92;2016;No ;Meghan Trainor ;1;0;0;;
93;2016;Mercy ;Shawn Mendes ;0;0;0;;
94;2016;Stoff und Schnaps ;Lil Kleine und Ronnie Flex ;0;1;0;;
95;2016;Capsize ;Frenship und Emily Warren ;2;0;0;;
96;2016;Side To Side ;Ariana Grande feat. Nicki Minaj;1;0;1;;
97;2016;Astronaut ;Sido feat. Andreas Bourani ;0;1;2;;
98;2016;Mörder ;Bonez MC und RAF Camora feat. Gzuz ;0;1;2;;
99;2016;Wherever I Go ;OneRepublic;0;0;0;;
100;2016;Just Like Fire ;P!nk ;0;0;0;;
1;2015;Cheerleader (Felix Jaehn Remix);Omi;0;0;0;;
2;2015;Are You With Me;Lost Frequencies  ;0;0;1;;
3;2015;Aint Nobody (Loves Me Better) ;Felix Jaehn feat. Jasmine Thompson ;2;0;1;;
4;2015;Love Me Like You Do ;Elli Goulding ;1;0;0;;
5;2015;Lean On ;Major Lazer und DJ Snake ;2;0;1;;
6;2015;Astronaut ;Sido feat. Andreas Bourani ;1;0;1;;
7;2015;Hello ;Adele ;1;0;0;;
8;2015;Sugar;Robin Schulz feat. Francesco Yates ;0;0;1;;
9;2015;See You Again ;Wiz Khalifa feat. Charlie Puth ;0;0;2;;
10;2015;Firestone ;Kygo feat. Conrad ;0;0;1;;
11;2015;Wolke 4;Philipp Dittberner und Marv ;0;1;0;;
12;2015;Lieblingsmensch ;Namika  ;1;1;0;;
13;2015;Wie Schön Du Bist ;Sarah Connor ;1;1;0;;
14;2015;Reality ;Lost Frequencies feat. Janieck Devy ;0;0;1;;
15;2015;Supergirl ;Anna Naklab feat. Alle Farben und Younotus ;2;0;1;;
16;2015;Want To Want Me ;Jason Derulo  ;0;0;1;;
17;2015;Unter Meiner Haut ;Gestört aber Geil und Koby Funk feat. Wincent Weiss ;0;1;1;;
18;2015;Photograph ;Ed Sheeran ;0;0;0;;
19;2015;Headlights ;Robin Schulz feat. Ilsey ;2;0;1;;
20;2015;Stole The Show ;Kygo feat. Parson James ;0;0;1;;
21;2015;Dont Worry ;Madcon feat. Parson James ;0;0;0;;
22;2015;Uptown Funk!;Mark Ronson feat. Bruno Mars ;0;0;0;;
23;2015;Bye Bye ;Cro ;0;1;2;;
24;2015;Geiles Leben ;Glasperlenspiel ;2;1;0;;
25;2015;FourFiveSeconds ;Rihanna, Kanye West und Paul McCartney ;2;0;0;;
26;2015;Herz Über Kopf ;Joris ;0;1;0;;
27;2015;So Wie Du Bist ;MoTrip feat. Lary ;2;1;2;;
28;2015;How Deep Is The Love ;Calvin Harris und Disciples;0;0;1;;
29;2015;The Hanging Tree ;James Newton Howard feat. Jennifer Lawrence ;2;0;0;;
30;2015;Take Me To Church ;Hozier ;0;0;0;;
31;2015;Intoxicated ;Martin Solveig und GTA ;0;0;1;;
32;2015;Waiting für Love ;Avicii  ;0;0;1;;
33;2015;Hold Back The River ;James Bay ;0;0;0;;
34;2015;Hey Mama ;David Guetta feat. Nicki Minaj und Afrojack ;2;0;1;;
35;2015;Shut Up and Dance ;Walk The Moon ;0;0;0;;
36;2015;Flash mich ;Mark Forster ;0;1;0;;
37;2015;Avenir ;Louane ;1;0;0;;
38;2015;King ;Years and Years ;0;0;0;;
39;2015;Goodbye;Feder feat. Lyse;2;0;1;;
40;2015;Outside ;Calvin Harris feat. Ellie Goulding ;2;0;1;;
41;2015;El perdon ;Nicky Jam und Enrique Iglesias ;0;0;0;;
42;2015;What Do You Mean? ;Justin Bieber ;0;0;0;;
43;2015;Thinking Out Loud ;Ed Sheeran ;0;0;0;;
44;2015;Ghost Town ;Adam Lambert ;0;0;1;;
